epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,113.606,0.90892,3.59918,0.00341,0.66162,0.67397,0.73603,0.61345,0.67543,1.02929,0.00198,0.00997602,0.00332534,0.00997602,0.00332534,0.00997602,0.00332534,0.00997602,0.00332534
2,210.247,0.66056,0.56675,0.00252,0.94721,0.95174,0.98858,0.87451,0.5245,0.29798,0.00154,0.0199101,0.0066367,0.0199101,0.0066367,0.0199101,0.0066367,0.0199101,0.0066367
3,306.625,0.6032,0.31028,0.00238,0.97656,0.98295,0.9941,0.9097,0.42724,0.18172,0.00112,0.0297782,0.00992606,0.0297782,0.00992606,0.0297782,0.00992606,0.0297782,0.00992606
4,402.893,0.48762,0.21551,0.00194,0.99445,0.99393,0.9949,0.93203,0.37347,0.12922,0.00117,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,498.529,0.40699,0.16769,0.00157,0.9943,0.9939,0.99475,0.94722,0.32025,0.1131,0.00096,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,594.318,0.36996,0.1444,0.00142,0.99634,0.99579,0.99494,0.96606,0.26934,0.09402,0.00077,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,689.936,0.343,0.13061,0.00129,0.99618,0.99501,0.99494,0.97195,0.25637,0.09056,0.00074,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,786.202,0.32527,0.12241,0.00123,0.99643,0.99507,0.99496,0.95617,0.30558,0.10394,0.00097,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,882.724,0.31171,0.11639,0.00117,0.99531,0.99607,0.99497,0.97967,0.227,0.08571,0.00062,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,978.972,0.30531,0.11272,0.00113,0.99634,0.99727,0.99498,0.98029,0.22525,0.0808,0.00064,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1076.07,0.29753,0.10877,0.0011,0.996,0.99661,0.99498,0.978,0.23283,0.08678,0.00065,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1171.52,0.29263,0.10667,0.00107,0.99618,0.99517,0.99497,0.98198,0.21055,0.0812,0.00053,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1268.45,0.28748,0.1044,0.00106,0.99647,0.99687,0.99498,0.98477,0.1973,0.07395,0.00048,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1364.11,0.28447,0.10264,0.00104,0.99866,0.99855,0.99498,0.98266,0.20997,0.07035,0.00049,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1460.29,0.28217,0.10206,0.00103,0.99689,0.99759,0.99499,0.98548,0.19047,0.0691,0.00044,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1555.37,0.28029,0.1002,0.00103,0.99681,0.99754,0.99499,0.98662,0.18356,0.06879,0.00041,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1650.02,0.27441,0.09897,0.00101,0.99899,0.99895,0.995,0.98717,0.18277,0.0626,0.00043,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1746.2,0.27269,0.09821,0.00099,0.99776,0.99878,0.99499,0.98734,0.18194,0.06389,0.00042,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1841.95,0.27202,0.09735,0.001,0.99876,0.99885,0.995,0.98864,0.17212,0.05976,0.00037,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1996.85,0.26977,0.09662,0.00098,0.9983,0.99851,0.995,0.98846,0.17425,0.06147,0.0004,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,2093.63,0.2707,0.09663,0.00098,0.99797,0.99837,0.995,0.98897,0.16702,0.06102,0.00035,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,2189.65,0.26772,0.09599,0.00097,0.99861,0.99918,0.995,0.9892,0.16814,0.0585,0.00036,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,2286.8,0.265,0.09441,0.00096,0.99834,0.99878,0.995,0.98944,0.16607,0.05918,0.00036,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,2385.02,0.26524,0.09501,0.00096,0.99931,0.99889,0.995,0.98989,0.16057,0.05618,0.00032,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
